,Department,Title,Text,Vernehmlassung Day,Vernehmlassung Month,Vernehmlassung Year,Behoerde,SR Links,SR Numbers
0,BK,Revision des Bundesgesetzes über die politischen Rechte,,28,2,1993,Bundesrat,,
1,EDA,Beitritt der Schweiz zum UNO-Übereinkommen über die Rechte des Kindes vom 20.11.1989,,15,12,1992,Bundesrat,,
2,EDI,Verordnung über den Wald (Waldverordnung),,16,3,1992,Bundesrat,,
3,EDI,Beitritt der Schweiz zu drei internationalen Betäubungsmittelabkommen und Änderung des Betäubungsmittelgesetzes,,15,6,1992,Bundesrat,,
4,EDI,Bundesbeschluss über befristete Massnahmen gegen die Kostensteigerung in der Krankenversicherung,,30,6,1992,Bundesrat,,
5,EDI,Herabsetzung des Jugend + Sport-Alters,,30,9,1992,Bundesrat,,
6,EJPD,Ratifikation von internationalen Zivilprozessrechtsübereinkommen,"- Haager Übereinkommen vom 15.11.1965 über die Zustellung gerichtlicher und aussergerichtlicher Schriftstücke im Ausland in Zivil- und Handelssachen (HZUe65),
- Haager Übereinkommen vom 18.3.1970 über die Beweisaufnahme im Ausland in Zivil- und Handelssachen (HBewUe70),
- Haager Übereinkommen vom 25.10.1980 über den internationalen Zugang zur Rechtspflege (HUe80),
- Europäisches Übereinkommen vom 27.1.1977 betreffend die Übermittlung von Gesuchen zur Gewährung der unentgeltlichen Rechtspflege (EUe77).",30,6,1992,Bundesrat,,
7,EJPD,Revision des Zivilgesetzbuches,"Eheschliessung und Scheidung, Personenstand, Kindesrecht, Verwandtenunterstützungspflicht, Vormundschaft, Heimstätten und Ehevermittlung",31,10,1992,Bundesrat,,
8,EJPD,Äusländerregelung 1992/93,Teilrevision der Verordnung über die Begrenzung der Zahl der Ausländer,13,8,1992,Bundesrat,,
9,EJPD,Bundesgesetz über Ordnungsbussen im Strassenverkehr,,15,10,1992,Bundesrat,,
10,EJPD,Revision der Zivilschutzgesetzgebung,Entwürfe zum Zivilschutzgesetz (Totalrevision) und zum Schutzbautengesetz (Teilrevision),15,3,1993,Bundesrat,,
11,EFD,Bundesgesetz über die Kontrolle des Verkehrs mit Edelmetallen und Edelmetallwaren,Teilrevision,30,4,1992,Bundesrat,,
12,EFD,Bundesgesetz über die Anlagefonds,,31,5,1992,Bundesrat,,
13,EVD,Verordnung über die Arbeitsleistung,Vollzug von Art. 81 Ziff. 2 des Militärstrafgesetzes,20,3,1992,Bundesrat,,
14,EVD,Verordnung über die Entsorgung tierischer Abfälle,,20,3,1992,Bundesrat,,
15,EVD,"Direkter Gegenvorschlag zur Volksinitiative ""für eine umweltgerechte und leistungsfähige bäuerliche Landwirtschaft""",(Initiative des Schweizerischen Bauernverbandes),22,6,1992,Bundesrat,,
16,EVD,Änderung des Milchwirtschaftsbeschlusses 1988 und des Milchbeschlusses,,5,8,1992,Bundesrat,,
17,EVD,Bundesgsetz über die Arbeitslosenhilfe,,31,8,1992,Bundesrat,,
18,EVD,Bundesbeschluss über Massnahmen in der Arbeitslosenversicherung,,15,12,1992,Bundesrat,,
19,EVD,Verlängerung des Bundesbeschlusses über die Schweizerische Genossenschaft für Getreide und Futtermittel,,15,2,1993,Bundesrat,,
20,EMD,Bundesbeschluss über die vorzeitige Entlassung aus der Wehrpflicht und den Übertritt in den Zivilschutz,,31,12,1992,Bundesrat,,
21,EMD,Bundesgesetz über die Armee und die Militärverwaltung (Militärgesetz),,15,2,1992,Bundesrat,,
22,EMD,Bundesbeschluss über die Organisation der Armee,(Armeeorganisation [AO]),15,2,1993,Bundesrat,,
0,BK,Regierungsreform 1993,Regierungs- und Verwaltungsorganisationsgesetz (RVOG),8,7,1993,Bundesrat,,
1,EDA,Bundesbeschluss über die Zusammenarbeit mit den Staaten Osteuropas,,30,9,1993,Bundesrat,,
2,EDI,Bundesgesetz über Handel und Verkehr mit Kulturgütern,Texte und erläuternder Bericht betreffend eine Änderung der Bundesverfassung zur Schaffung einer Bundeskompetenz für die Gesetzgebung über die Ein- und Ausfuhr von Kulturgütern (Art. 24sexies Abs. 3bis BV),31,12,1993,Bundesrat,,
3,EDI,Europäische Charta der Regional- und Minderheitssprachen,,31,1,1994,Bundesrat,,
4,EDI,Submissionsverordnung und Einkaufsverordnung,"Verordnung über die Ausschreibung und Vergabe von Dienstleistungen, Arbeiten und Lieferungen bei Bauvorhaben des Bundes (Submissionsverordnung) und Verordnung über die Beschaffung von Gütern und Dienstleistungen (Einkaufsverordnung)",31,1,1994,Bundesrat,,
5,EJPD,Bodenrecht im Siedlungsbereich,"- Änderung des Bundesgesetzes über die Raumplanung
- Änderung des Zivilgesetzbuches",30,6,1993,Bundesrat,,
6,EJPD,Änderung der Asylverordnung 2 über Finanzierungsfragen,,28,5,1993,Bundesrat,,
7,EJPD,Teilrevision des Patentgesetzes,Änderung des Bundesgesetzes betreffend die Erfindungspatente und Bundesbeschluss über die Änderung von Artikel 63 des Übereinkommens vom 5.10.1973 über die Erteilung Europäischer Patente (Europäisches Patentübereinkommen),30,4,1993,Bundesrat,,
8,EJPD,Revision des Zivilgesetzbuches,Stiftungsrecht udn Eröffnung von Ehe- und Erbverträgen,31,10,1993,Bundesrat,,
9,EJPD,Rechtshilfe in Strafsachen,"- Revision des Bundesgesetzes über internationale Rechtshilfe in Strafsachen (IRSG)
- Revision des Bundesgesetzes zum Staatsvertrag mit den Vereinigten Staaten von Amerika über gegenseitige Rechtshilfe in Strafsachen",30,9,1993,Bundesrat,,
